Subfolder,File Name,ROI Index,NumOrganoids,Feret,MinFeret,Average Feret,Area,Equivalent Circle Diameter,Major,Minor,Circularity,Roundness,Solidity,MeetsCriteria
,Treat_Merge.tif,1,32,345.305228457,257.161153335,301.233190896,64322.6912,286.178605175,325.215788171,251.827239139,0.594186036465,0.774338910652,0.939395089691,True
,Treat_Merge.tif,2,32,351.015525583,197.486667986,274.251096784,45412.6448,240.460340161,328.095105007,176.232971197,0.324985561107,0.537139897875,0.915050860082,True
,Treat_Merge.tif,3,32,186.548653171,153.020536407,169.784594789,20099.3248,159.972670034,176.178859285,145.25724177,0.613006334643,0.824487355402,0.943712964595,True
,Treat_Merge.tif,4,32,229.728779216,173.394010187,201.561394701,27100.4144,185.756074713,209.213543778,164.928707146,0.4918342871,0.788327104298,0.894777492777,True
,Treat_Merge.tif,5,32,457.596372363,278.373797618,367.98508499,91094.4512,340.565790375,444.621012206,260.862744651,0.636807706598,0.586708089563,0.943928226214,True
,Treat_Merge.tif,6,32,284.822611462,217.098614503,250.960612983,40838.0528,228.027681993,267.522092403,194.363849684,0.506148229635,0.726533827311,0.877633097901,True
,Treat_Merge.tif,7,32,312.311918441,246.31830946,279.31511395,50386.3584,253.286209712,276.946252865,231.647488877,0.456359629061,0.836434818962,0.823961122682,True
,Treat_Merge.tif,8,32,372.465912534,301.833379662,337.149646098,77229.7408,313.5792723,333.846757231,294.542205028,0.336240705596,0.882267683146,0.907996957679,True
,Treat_Merge.tif,9,32,181.396573286,124.246631791,152.821602539,17499.5472,149.268601889,177.81086693,125.307951616,0.574836986935,0.704726059657,0.965487571702,True
,Treat_Merge.tif,10,32,308.62831756,235.644988684,272.136653122,52835.96,259.370070856,282.642715871,238.01368257,0.504501579656,0.842100889938,0.896321627342,True
,Treat_Merge.tif,11,32,162.655980523,114.631835201,138.643907862,13644.0672,131.80351251,153.267699376,113.345251353,0.525836675198,0.739524712735,0.954424242424,True
,Treat_Merge.tif,12,32,425.11182717,400.201538855,412.656683013,130874.9184,408.20965388,409.99869056,406.428423694,0.814051738008,0.991292004223,0.992883685059,True
,Treat_Merge.tif,13,32,343.35602281,273.727867056,308.541944933,62868.872,282.926022068,300.035920719,266.791835362,0.365274095641,0.889199648904,0.936357458083,True
